legacy_anchor_drug_id,legacy_anchor_drug_name,term_kind,legacy_synonym_id,normalized_surface_form,match_count,rxnorm_mapping_status,rxnorm_mapping_rule,matched_rxcuis,matched_ttys,concept_classes,default_rule,quarantine_reason,assigned_rxcuis
1,(+)-1-bromo-2-propanol,anchor,,(+)-1-bromo-2-propanol,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
1,(+)-1-bromo-2-propanol,synonym,2038,(s)-(+)-1-bromo-2-propanol,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
2,(+)-2-(4-biphenyl)propionic acid,anchor,,(+)-2-(4-biphenyl)propionic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
2,(+)-2-(4-biphenyl)propionic acid,synonym,979,(2s)-2-(4-biphenylyl)propanoic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
2,(+)-2-(4-biphenyl)propionic acid,synonym,5470,"2-(1,1'-biphenyl-4-yl)propanoic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
3,(+)-menthol,anchor,,(+)-menthol,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
3,(+)-menthol,synonym,44,"(+)-(1s,2r,5s)-menthol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
3,(+)-menthol,synonym,46,"(+)-(1s,3s,4r)-menthol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
3,(+)-menthol,synonym,718,"(1s,2r,5s)-(+)-menthol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
3,(+)-menthol,synonym,719,"(1s,2r,5s)-menthol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
3,(+)-menthol,synonym,28092,d-menthol,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
4,(+)-rutamarin alcohol,anchor,,(+)-rutamarin alcohol,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
4,(+)-rutamarin alcohol,synonym,147,(+)-chalepin,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
5,(-)-beta-elemene,anchor,,(-)-beta-elemene,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
5,(-)-beta-elemene,synonym,381,(-)-.beta.-elemene,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
5,(-)-beta-elemene,synonym,426,(-)-b-elemene,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
5,(-)-beta-elemene,synonym,2591,.beta.-elemene,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
5,(-)-beta-elemene,synonym,27611,"cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1s,2s,4r)-",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
5,(-)-beta-elemene,synonym,31582,"elemene, (-)-.beta.-",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
6,(-)-menthol 1-propylene glycol carbonate,anchor,,(-)-menthol 1-propylene glycol carbonate,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
6,(-)-menthol 1-propylene glycol carbonate,synonym,478,(-)-menthol (+/-)-1-propylene glycol carbonate,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
6,(-)-menthol 1-propylene glycol carbonate,synonym,6312,"2-hydroxypropyl ((1r,2s,5r)-2-isopropyl-5-methyl-cyclohexyl) carbonate",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
6,(-)-menthol 1-propylene glycol carbonate,synonym,23079,"carbonic acid, 2-hydroxypropyl (1r,2s,5r)-5-methyl-2-(1-methylethyl)cyclohexyl ester",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
6,(-)-menthol 1-propylene glycol carbonate,synonym,33513,"fema no. 3806, 1-propylene glycol carbonate",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
7,"(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine",anchor,,"(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
8,"(1,2,6,7-3h)testosterone",anchor,,"(1,2,6,7-3h)testosterone",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
8,"(1,2,6,7-3h)testosterone",synonym,64238,"testosterone, 1,2,6,7-h-3",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
9,(1-benzyl-5-methoxy-2-methyl-1h-indol-3-yl)acetic acid,anchor,,(1-benzyl-5-methoxy-2-methyl-1h-indol-3-yl)acetic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
10,"(1-hydroxy-1-phosphono-2-[1,1';4',1'']terphenyl-3-yl-ethyl)-phosphonic acid",anchor,,"(1-hydroxy-1-phosphono-2-[1,1';4',1'']terphenyl-3-yl-ethyl)-phosphonic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
11,(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,anchor,,(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
11,(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,synonym,54235,"phosphonic acid, p-(1-hydroxy-2-oxo-3-piperidinyl)-",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
12,"(1-hydroxyheptane-1,1-diyl)bis(phosphonic acid)",anchor,,"(1-hydroxyheptane-1,1-diyl)bis(phosphonic acid)",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
13,"(1-hydroxynonane-1,1-diyl)bis(phosphonic acid)",anchor,,"(1-hydroxynonane-1,1-diyl)bis(phosphonic acid)",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
14,(1-methyl-1h-imidazol-2-yl)-(3-methyl-4-{3-[(pyridin-3-ylmethyl)-amino]-propoxy}-benzofuran-2-yl)-methanone,anchor,,(1-methyl-1h-imidazol-2-yl)-(3-methyl-4-{3-[(pyridin-3-ylmethyl)-amino]-propoxy}-benzofuran-2-yl)-methanone,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",anchor,,"(10e,12z)-octadecadienoic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",synonym,574,"(10e,12z)-octadeca-10,12-dienoic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",synonym,1759,"(e,z)-octadeca-10,12-dienoic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",synonym,4033,"10,12-trans,cis-octadecanoic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",synonym,4080,10-trans-12-cis-cla,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",synonym,4081,10-trans-12-cis-conjugated linoleic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",synonym,4082,10-trans-12-cis-linoleic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",synonym,4083,10-trans-12-cis-octadecadienoic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
15,"(10e,12z)-octadecadienoic acid",synonym,22354,"c18:2, n-6,8 cis,trans",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
16,"(10r)-10-formyl-5,8,10-trideazafolic acid",anchor,,"(10r)-10-formyl-5,8,10-trideazafolic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
17,"(10r)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8h-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",anchor,,"(10r)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8h-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
18,"(11r)-10-acetyl-11-(2,4-dichlorophenyl)-6-hydroxy-3,3-dimethyl-2,3,4,5,10,11-hexahydro-1h-dibenzo[b,e][1,4]diazepin-1-one",anchor,,"(11r)-10-acetyl-11-(2,4-dichlorophenyl)-6-hydroxy-3,3-dimethyl-2,3,4,5,10,11-hexahydro-1h-dibenzo[b,e][1,4]diazepin-1-one",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
19,"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine",anchor,,"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
20,(12r)-12-hydroxyeicosapentaenoic acid,anchor,,(12r)-12-hydroxyeicosapentaenoic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
21,"(13r,15s)-13-methyl-16-oxa-8,9,12,22,24-pentaazahexacyclo[15.6.2.16,9.1,12,15.0,2,7.0,21,25]heptacosa-1(24),2,4,6,17(25),18,20-heptaene-23,26-dione",anchor,,"(13r,15s)-13-methyl-16-oxa-8,9,12,22,24-pentaazahexacyclo[15.6.2.16,9.1,12,15.0,2,7.0,21,25]heptacosa-1(24),2,4,6,17(25),18,20-heptaene-23,26-dione",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
22,"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",anchor,,"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
23,"(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-one oxime",anchor,,"(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-one oxime",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
24,(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,anchor,,(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
25,(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine,anchor,,(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
26,"(1r)-1,2,2-trimethylpropyl (r)-methylphosphinate",anchor,,"(1r)-1,2,2-trimethylpropyl (r)-methylphosphinate",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
27,(1r)-1-(2-thienylacetylamino)-1-phenylmethylboronic acid,anchor,,(1r)-1-(2-thienylacetylamino)-1-phenylmethylboronic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
28,"(1r)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",anchor,,"(1r)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
29,(1r)-2-[(cyanomethyl)amino]-1-({[2-(difluoromethoxy)benzyl]sulfonyl}methyl)-2-oxoethyl morpholine-4-carboxylate,anchor,,(1r)-2-[(cyanomethyl)amino]-1-({[2-(difluoromethoxy)benzyl]sulfonyl}methyl)-2-oxoethyl morpholine-4-carboxylate,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
30,"(1r)-2-[(diaminomethylene)amino]-1-{4-[(4r)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",anchor,,"(1r)-2-[(diaminomethylene)amino]-1-{4-[(4r)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
31,(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,anchor,,(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
32,(1r)-2-phenylacetamido-2-(3-carboxyphenyl)ethyl boronic acid,anchor,,(1r)-2-phenylacetamido-2-(3-carboxyphenyl)ethyl boronic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
33,(1r)-3-chloro-1-phenylpropan-1-ol,anchor,,(1r)-3-chloro-1-phenylpropan-1-ol,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
34,(1r)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonic acid,anchor,,(1r)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonic acid,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
35,"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-hydroxy-3,7,12,16-tetramethylheptadeca-1,3,5,7,9,11,13,15-octaen-1-yl]-3,5,5-trimethylcyclohex-3-en-1-ol",anchor,,"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-hydroxy-3,7,12,16-tetramethylheptadeca-1,3,5,7,9,11,13,15-octaen-1-yl]-3,5,5-trimethylcyclohex-3-en-1-ol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
36,(1r)-menthyl hexyl phosphonate group,anchor,,(1r)-menthyl hexyl phosphonate group,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
37,"(1r)-n,6-dihydroxy-7-methoxy-2-[(4-methoxyphenyl)sulfonyl]-1,2,3,4-tetrahydroisoquinoline-1-carboxamide",anchor,,"(1r)-n,6-dihydroxy-7-methoxy-2-[(4-methoxyphenyl)sulfonyl]-1,2,3,4-tetrahydroisoquinoline-1-carboxamide",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
38,"(1r, 2s)-cis 1,2 dihydroxy-1,2-dihydronaphthalene",anchor,,"(1r, 2s)-cis 1,2 dihydroxy-1,2-dihydronaphthalene",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
39,"(1r,2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",anchor,,"(1r,2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
40,"(1r,2r,3r,4s,5r)-4-(benzylamino)-5-(methylthio)cyclopentane-1,2,3-triol",anchor,,"(1r,2r,3r,4s,5r)-4-(benzylamino)-5-(methylthio)cyclopentane-1,2,3-triol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
40,"(1r,2r,3r,4s,5r)-4-(benzylamino)-5-(methylthio)cyclopentane-1,2,3-triol",synonym,19976,"benzylation of mannostatin a, 1b",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
41,"(1r,2r,3s,4r,6s)-3,4,6-trihydroxy-5-{[(s)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",anchor,,"(1r,2r,3s,4r,6s)-3,4,6-trihydroxy-5-{[(s)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
42,"(1r,2r,3s,4r,6s)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-beta-l-idopyranosyl)-2-o-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-d-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-d-glucopyranoside",anchor,,"(1r,2r,3s,4r,6s)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-beta-l-idopyranosyl)-2-o-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-d-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-d-glucopyranoside",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
42,"(1r,2r,3s,4r,6s)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-beta-l-idopyranosyl)-2-o-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-d-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-d-glucopyranoside",synonym,673,"(1r,2r,3s,4r,6s)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-β-l-idopyranosyl)-2-o-{2-[(piperidin-3-ylmethyl)amino]ethyl}-β-d-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-α-d-glucopyranoside",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
43,"(1r,2s)-2-(5-thioxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)cyclohexanecarboxylic acid",anchor,,"(1r,2s)-2-(5-thioxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)cyclohexanecarboxylic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
44,"(1r,2s)-2-phenylcyclopropanaminium",anchor,,"(1r,2s)-2-phenylcyclopropanaminium",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
44,"(1r,2s)-2-phenylcyclopropanaminium",synonym,683,"(1r,2s)-tranylcypromine(1+)",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
45,"(1r,3r)-5-[(2e)-3-{(1s,3r)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",anchor,,"(1r,3r)-5-[(2e)-3-{(1s,3r)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
46,"(1r,4s)-2-azabornane",anchor,,"(1r,4s)-2-azabornane",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
47,"(1r,4s,7as)-1-(1-formylprop-1-en-1-yl)-4-methoxy-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylic acid",anchor,,"(1r,4s,7as)-1-(1-formylprop-1-en-1-yl)-4-methoxy-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
48,"(1s)-1,2,3,4-tetrahydro-benzo[c]phenanthrene-2,3,4-triol",anchor,,"(1s)-1,2,3,4-tetrahydro-benzo[c]phenanthrene-2,3,4-triol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
49,"(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1,7]naphtyridin-5-yloxy)-ehylamine",anchor,,"(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1,7]naphtyridin-5-yloxy)-ehylamine",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
50,"(1s)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",anchor,,"(1s)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
51,(1s)-1-(phenoxymethyl)propyl methylphosphonochloridoate,anchor,,(1s)-1-(phenoxymethyl)propyl methylphosphonochloridoate,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
52,(1s)-1-amino-2-(1h-indol-3-yl)ethanol,anchor,,(1s)-1-amino-2-(1h-indol-3-yl)ethanol,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
53,"(1s)-1-c-{(2r)-6-[(2r)-2-butanyl]-5,10-dihydroxy-4-oxo-1,2,3,4-tetrahydro-2-anthracenyl}-5-deoxy-1-o-methyl-d-xylulose",anchor,,"(1s)-1-c-{(2r)-6-[(2r)-2-butanyl]-5,10-dihydroxy-4-oxo-1,2,3,4-tetrahydro-2-anthracenyl}-5-deoxy-1-o-methyl-d-xylulose",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
53,"(1s)-1-c-{(2r)-6-[(2r)-2-butanyl]-5,10-dihydroxy-4-oxo-1,2,3,4-tetrahydro-2-anthracenyl}-5-deoxy-1-o-methyl-d-xylulose",synonym,2841,"1,2-hydro-1-oxy-3,4-hydro-3-(1-methoxy-2-oxy-3,4-dihydroxypentyl)-8,9-dihydroxy-7-(sec-butyl)-anthracene",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
54,"(1s)-1-cyclopropyl-2-[(2s)-4-(2,5-difluorophenyl)-2-phenyl-2,5-dihydro-1h-pyrrol-1-yl]-2-oxoethanamine",anchor,,"(1s)-1-cyclopropyl-2-[(2s)-4-(2,5-difluorophenyl)-2-phenyl-2,5-dihydro-1h-pyrrol-1-yl]-2-oxoethanamine",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
55,(1s)-1-phenylethyl (4-acetamidobenzyl)phosphonate,anchor,,(1s)-1-phenylethyl (4-acetamidobenzyl)phosphonate,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
56,"(1s)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",anchor,,"(1s)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
57,(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine,anchor,,(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
58,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-ethynylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",anchor,,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-ethynylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
59,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-prop-1-yn-1-ylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",anchor,,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-prop-1-yn-1-ylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
60,"(1s)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",anchor,,"(1s)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
61,"(1s)-2-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-1-[(pentanoyloxy)methyl]ethyl octanoate",anchor,,"(1s)-2-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-1-[(pentanoyloxy)methyl]ethyl octanoate",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
62,(1s)-menthyl hexyl phosphonate group,anchor,,(1s)-menthyl hexyl phosphonate group,0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
63,"(1s,2r)-2-[(2,5-difluorophenyl)carbamoyl]cyclopropanecarboxylic acid",anchor,,"(1s,2r)-2-[(2,5-difluorophenyl)carbamoyl]cyclopropanecarboxylic acid",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
64,"(1s,2r,3s,4r,5r)-2,3,4-trihydroxy-n-octyl-6-oxa-8-azabicyclo[3.2.1]octane-8-carbothioamide",anchor,,"(1s,2r,3s,4r,5r)-2,3,4-trihydroxy-n-octyl-6-oxa-8-azabicyclo[3.2.1]octane-8-carbothioamide",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
65,"(1s,2r,5s)-5-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8h)-yl]-2-(2,4,5-trifluorophenyl)cyclohexanamine",anchor,,"(1s,2r,5s)-5-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8h)-yl]-2-(2,4,5-trifluorophenyl)cyclohexanamine",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
66,"(1s,2s)-1-amino-1-(1,3-thiazol-2-yl)propan-2-ol",anchor,,"(1s,2s)-1-amino-1-(1,3-thiazol-2-yl)propan-2-ol",0,unmatched,no_exact_active_rxnorm_concept,,,,,quarantine_anchor_not_validated,
